,CALIPER,DT,GAMMARAY,ITTT,MMK,SPHI,TENS,TPUL,CALI,CT90,DLIM,DPHD,DPHI,DPHS,DRHO,GR,MINV,MNOR,NPHD,NPHI,NPHL,NPHS,PE,QF,QN,RHOB,RMUD,RT,RT10,RT20,RT30,RT60,RT90,RXO,RXRT,SP
count,16625.0,16667.0,16541.0,16667.0,16698.0,16667.0,16724.0,16698.0,16626.0,16724.0,16620.0,16620.0,16620.0,16620.0,16620.0,16542.0,16624.0,16624.0,16582.0,16582.0,16582.0,16582.0,16620.0,16620.0,16620.0,16620.0,16724.0,16724.0,16724.0,16724.0,16724.0,16724.0,16724.0,16724.0,16724.0,16510.0
mean,7.899031368421037,68.7921760784784,64.47729215887804,137092.06035388476,0.002874595759971254,14.98739593208147,3079.261273714406,0.00017966223499820338,7.8988679117045555,262.6193592441989,0.05082699759326102,0.12475302045728057,0.05082688327316476,0.019408020457280403,0.019087906137183953,64.47597714907532,23.38802440447548,23.893227737006924,0.07223435050054293,0.08595279821493196,0.08595279821493196,0.12110800265347935,3.970625042117933,-0.05322856197352601,-0.04574108303249073,2.392276690734062,0.2712923343697639,27.94426402774449,23.458263166706555,23.304326967232686,23.63992743960773,24.55543186438649,27.217144516862,28.088041000956625,0.15673417842621393,89.2180499878857
std,0.36127968357947726,13.5944359382787,44.5835747977612,80602.6911555434,0.05353974343141539,9.61416929602719,415.70279680792464,0.013403011404045205,0.35789609459586497,319.419863707388,0.07809557581066756,0.08173993465059766,0.07809552019352851,0.07764653642540893,0.03555891234296226,44.36045262255384,19.7863549579458,21.698909182659246,0.0738465910148906,0.0776466157444334,0.0776466157444334,0.08743878731048516,1.0310982167916252,0.29292323779920904,0.26315112941288366,0.5561427115588898,0.07613129764878443,97.10746168677213,57.04779480785192,64.3389525064484,70.75776248030147,75.56563236137501,92.59127109938413,69.40424201659587,0.48561195034559984,28.394878998453343
min,4.5,45.2697,5.1482,0.0,0.0,-1.648,74.1818,0.0,4.5,0.035,-0.1484,-0.0502,-0.1484,-0.1902,-0.0436,5.1482,0.0214,0.0265,-0.0219,-0.0088,-0.0088,0.0,0.0017,-1.0953,-0.8376,0.001,0.02,0.3923,0.2989,0.1522,0.363,0.3904,0.3923,0.2989,-3.2565,12.0598
25%,7.7647,58.3297,33.4047,68929.17970000001,0.0,7.5882000000000005,2742.8659749999997,0.0,7.764625,60.187250000000006,0.0159,0.1001,0.0159,-0.0172,0.0002,33.52775,7.49365,7.231949999999999,0.0074,0.0204,0.0204,0.0509,3.6370750000000003,-0.25465000000000004,-0.2313,2.4653,0.203575,3.0806,3.9986250000000005,3.6279250000000003,3.322325,3.1654750000000003,3.0809,4.55385,-0.076525,70.12325
50%,7.8386,64.9591,52.3657,136789.375,0.0,12.2766,3033.91325,0.0,7.8389,147.7248,0.0459,0.1276,0.0459,0.0112,0.0089,52.3826,14.9009,14.126850000000001,0.05875,0.0724,0.0724,0.11055000000000001,4.265499999999999,-0.0559,-0.05355,2.5921,0.2721,6.822800000000001,8.35965,7.5764,7.15945,6.9417,6.822150000000001,11.095500000000001,0.0075,94.3885
75%,7.9359,76.29025,85.2573,205008.17185,0.0,20.29015,3439.424975,0.0,7.9361,324.891625,0.0921,0.1698,0.0921,0.0591,0.0233,85.211,38.6549,37.536075,0.1136,0.128975,0.128975,0.1727,4.665825,0.15,0.1325,2.6512,0.345,16.78505,20.503675,18.233575000000002,17.12365,16.722550000000002,16.81795,27.2609,0.40817499999999995,109.28935
max,13.0598,125.6646,443.1529,286550.3125,1.0,55.2084,3820.5325,1.0,13.0598,2548.8501,0.3369,0.3937,0.3369,0.3128,0.3178,443.1529,72.4304,96.5732,0.3793,0.4143,0.4143,0.4566,7.4255,1.1366,0.9286,2.9638,0.3872,1966.8175,1636.51,1696.0513,1738.2135,1748.9568,1966.8175,2000.0,2.418,167.3539
